1000  36.552
32.293  8.51791  35.9754
26.1389  4.78738  34.9663
31.237  8.35352  5.56067
32.1096  27.6708  9.09928
24.9991  31.9384  25.2972
8.4741  8.68469  21.982
25.7161  7.75237  18.3208
31.8696  31.9823  24.3022
9.73789  33.0607  35.3491
31.8739  12.5065  4.40904
29.307  8.96935  25.4917
26.4315  16.4585  30.7925
21.7657  3.9703  4.66876
26.5455  6.93057  13.8316
5.45941  17.219  35.7366
7.62727  7.1422  12.3835
35.5259  16.6607  26.2391
35.798  13.0471  24.0706
6.80341  4.63758  30.021
34.1299  13.5348  27.4965
17.2179  12.7442  27.2694
34.6753  21.3208  5.10335
31.7716  12.1844  0.626115
17.415  20.0479  11.6989
22.8511  17.1882  3.2745
